ID,Character,Image,Description
111,登,3821667.jpg,Carrying a ritual vessel up to the altar. not simplified 登登 A045 灯[燈]丁登 A328 证[證]正登 A046 邓[鄧]又登 C068 澄<澂>
112,弟,3821719.jpg,"(- a string wrapped around a bobbin) (- probably something the young boys did, spinning)"
113,弟,3822161.jpg,"(- a string wrapped around a bobbin) (- probably something the young boys did, spinning)"
114,帝,3823586.jpg,"(- head decorations 揥𪪶楴, ties 缔, sheaf 𥠒 , it shows to the way the kings hair was tied)"
115,帝,3823620.jpg,"(- head decorations 揥𪪶楴, ties 缔, sheaf 𥠒 , it shows to the way the kings hair was tied)"
116,帝,3824804.jpg,"(- head decorations 揥𪪶楴, ties 缔, sheaf 𥠒 , it shows to the way the kings hair was tied)"
117,典,3824490.jpg,In older characters the table is two hands holding a scroll.
118,典,3824844.jpg,In older characters the table is two hands holding a scroll.
119,典,3825322.jpg,In older characters the table is two hands holding a scroll.
120,典,3825177.jpg,In older characters the table is two hands holding a scroll.
121,奠,3825362.jpg,(- offering a bottle of alcohol on a table)
122,奠,3825697.jpg,(- offering a bottle of alcohol on a table)
123,吊,3826331.jpg,(- to hang) (- pictograph- a man with a snake wrapped around his body)
124,丁,3826630.jpg,"(- original meaning appears to be ""nail"", and appears as a circle or square, possibly representing a mortise and tenon) (- a mortise and tenon, now meaning nail) A045 灯[燈]登"
125,丁,3829484.jpg,"(- original meaning appears to be ""nail"", and appears as a circle or square, possibly representing a mortise and tenon) (- a mortise and tenon, now meaning nail) A045 灯[燈]登"
126,丁,3829304.jpg,"(- original meaning appears to be ""nail"", and appears as a circle or square, possibly representing a mortise and tenon) (- a mortise and tenon, now meaning nail) A045 灯[燈]登"
127,丁,3829869.jpg,"(- original meaning appears to be ""nail"", and appears as a circle or square, possibly representing a mortise and tenon) (- a mortise and tenon, now meaning nail) A045 灯[燈]登"
128,丁,3830494.jpg,"(- original meaning appears to be ""nail"", and appears as a circle or square, possibly representing a mortise and tenon) (- a mortise and tenon, now meaning nail) A045 灯[燈]登"
129,鼎,3830794.jpg,(- ritual-vessel-ding) (- some four legs some three legs)
130,鼎,3830712.jpg,(- ritual-vessel-ding) (- some four legs some three legs)
131,东,3832339.jpg,"(- 1 from a package, tied at both ends, containing something 東西) (- 2 from 東 or 束 indicating sun behind tree - raising)"
132,东,3832879.jpg,"(- 1 from a package, tied at both ends, containing something 東西) (- 2 from 東 or 束 indicating sun behind tree - raising)"
133,冬,3832148.jpg,(- the pegs on a sun dial that indicate the winter solstice and frost 仌 bīng)
134,冬,3833480.jpg,(- the pegs on a sun dial that indicate the winter solstice and frost 仌 bīng)
135,斗,3833502.jpg,(- a dipper)
136,斗,3833639.jpg,(- a dipper)
137,豆,3833901.jpg,(- see 壴 zhù)
138,豆,3834546.jpg,(- see 壴 zhù)
139,豆,3835624.jpg,(- see 壴 zhù)
140,督,3836402.jpg,(- to look over)
141,督,3836569.jpg,(- to look over)
142,对,3837810.jpg,(- possibly a hedge to indicate a boundary) (- early meaning to answer 應答) (- see 業)
143,兑,3837908.jpg,(- speech).
144,多,3838114.jpg,"(- meaning lots of meat, much)."
145,多,3838742.jpg,"(- meaning lots of meat, much)."
146,儿,3839605.jpg,(- in context when pronounced 兒 ní it is not simplified) (- child with up-raised hands wanting to be picked up)
147,而,3839146.jpg,(- a beard when standing alone 而 or in 耎) (- a root 不 in 耑)  (- a man 大 in 需)
148,耳,3840235.jpg,(- an ear)
149,二,3840959.jpg,(- different code points 二 èr and 𠄞 shàng but they look exactly the same)
150,二,3841470.jpg,(- different code points 二 èr and 𠄞 shàng but they look exactly the same)
151,凡,3842149.jpg,(- 凡凢 sail cloth - big - all)  (- original 凡帆)  (- phonetic 釩汎矾梵) (- phonetic-cognate 旁㫄) (- distorted 凤鳳 风風 同 佩珮) (- see 巩𢀜鞏) (- monstrosity 𦝠𦟀𣎆)
152,匚,3843235.jpg,A box - viewed from the left. Shuowen: two characters same definition. Different seal and kai forms. No logical difference 匚 fāng Kangxi 22 匸 xì Kangxi 23
153,匚,3843747.jpg,A box - viewed from the left. Shuowen: two characters same definition. Different seal and kai forms. No logical difference 匚 fāng Kangxi 22 匸 xì Kangxi 23
154,方,3843603.jpg,(- man carrying a carrying pole 扁擔) (- it carries stuff 東西 bag and basket) (- it has two ends east 東 and west 西)  (- 放 means to put down the carrying pole)
155,方,3844481.jpg,(- man carrying a carrying pole 扁擔) (- it carries stuff 東西 bag and basket) (- it has two ends east 東 and west 西)  (- 放 means to put down the carrying pole)
156,方,3846576.jpg,(- man carrying a carrying pole 扁擔) (- it carries stuff 東西 bag and basket) (- it has two ends east 東 and west 西)  (- 放 means to put down the carrying pole)
157,方,3846284.jpg,(- man carrying a carrying pole 扁擔) (- it carries stuff 東西 bag and basket) (- it has two ends east 東 and west 西)  (- 放 means to put down the carrying pole)
158,彷,3847927.jpg,(- confusion about 彳 being a double person)
159,非,3847379.jpg,(- possibly back to back people in disagreement) (- possibly broken wings)
160,非,3848299.jpg,(- possibly back to back people in disagreement) (- possibly broken wings)
161,分,3850911.jpg,(- separation).
162,丰,3851918.jpg,"(- Sichuan Fengdu 酆都 now 丰都)  (- a drummer on each side of the drum 壴, not jade, not herbs)"
163,丰,3851321.jpg,"(- Sichuan Fengdu 酆都 now 丰都)  (- a drummer on each side of the drum 壴, not jade, not herbs)"
164,丰,3852796.jpg,"(- Sichuan Fengdu 酆都 now 丰都)  (- a drummer on each side of the drum 壴, not jade, not herbs)"
165,丰,3852323.jpg,"(- Sichuan Fengdu 酆都 now 丰都)  (- a drummer on each side of the drum 壴, not jade, not herbs)"
166,丰,3852798.jpg,"(- Sichuan Fengdu 酆都 now 丰都)  (- a drummer on each side of the drum 壴, not jade, not herbs)"
167,风,3853828.jpg,(- the original snake was a two headed snake indicating the rainbow 虹 hóng).
168,风,3854172.jpg,(- the original snake was a two headed snake indicating the rainbow 虹 hóng).
169,风,3854966.jpg,(- the original snake was a two headed snake indicating the rainbow 虹 hóng).
170,风,3855373.jpg,(- the original snake was a two headed snake indicating the rainbow 虹 hóng).
171,风,3855885.jpg,(- the original snake was a two headed snake indicating the rainbow 虹 hóng).
172,封,3856371.jpg,(- hedge indicating boundary 𡵞𡉚 生) (not- 對) (- in seal we have
173,封,3856877.jpg,(- hedge indicating boundary 𡵞𡉚 生) (not- 對) (- in seal we have
174,封,3857207.jpg,(- hedge indicating boundary 𡵞𡉚 生) (not- 對) (- in seal we have
175,封,3857731.jpg,(- hedge indicating boundary 𡵞𡉚 生) (not- 對) (- in seal we have
176,夆,3858117.jpg,(- walking through brush - resistance)
177,夆,3858163.jpg,(- walking through brush - resistance)
178,缶,3858181.jpg,(- a clay jug with lid)
179,夫,3859883.jpg,(- man with top bun tied on top of head)
180,弗,3900811.jpg,(- probably indicating the warp and weft of a loom)
181,孚,3901381.jpg,(- baby 子 being held in hand 爫)
182,服,3901109.jpg,(- 服人 servant) (- 服務 service) (- 衣服 cloths)
183,福,3902695.jpg,(- something from God)
184,福,3902617.jpg,(- something from God)
185,甫,3902111.jpg,"(- to sow seeds, or a sprout, thus to begin)"
186,父,3903644.jpg,"(- hand holding an ax 斧头  borrowed for sound,  indicating father."
187,父,3903576.jpg,"(- hand holding an ax 斧头  borrowed for sound,  indicating father."
188,阜,3905340.jpg,"(- a wall, viewed from the left side, showing the turrets)"
189,阜,3905537.jpg,"(- a wall, viewed from the left side, showing the turrets)"
190,富,3906386.jpg,(- which contains stuff)
191,富,3906320.jpg,(- which contains stuff)
192,干,3907584.jpg,"(- a fork shaped weapon, sometimes possibly shown with a shield)"
193,甘,3907460.jpg,(- something in the mouth)
194,高,3909478.jpg,(- tall building)
195,杲,3910699.jpg,(- see 杳)
196,告,3911429.jpg,(- in Xiamen dialect cow is pronounced gu) (- cow acts as watch dog at night)
197,戈,3912413.jpg,"(long handled instrument, could be anything from a rake to a halberd) (几幾 jǐ, 戎𢦦 róng, 戍 shù, 我𢦐 wǒ, 戊 wù, 戌 xū, 戉 yuè, 㦰 jiān, 𢦏𢦒𢦔 zāi, 武 wǔ, 戒 jiè, 戯戲戏 戰战, 只戠 zhí, 几幾 jǐ) (- 戜 dié, 或 huò, 截𢧵 jié)  (- normal 㦷戳戥伐戤戢戟𢧢戛戞戔戩戡戣戮戕戧找戭)"
198,戈,3912945.jpg,"(long handled instrument, could be anything from a rake to a halberd) (几幾 jǐ, 戎𢦦 róng, 戍 shù, 我𢦐 wǒ, 戊 wù, 戌 xū, 戉 yuè, 㦰 jiān, 𢦏𢦒𢦔 zāi, 武 wǔ, 戒 jiè, 戯戲戏 戰战, 只戠 zhí, 几幾 jǐ) (- 戜 dié, 或 huò, 截𢧵 jié)  (- normal 㦷戳戥伐戤戢戟𢧢戛戞戔戩戡戣戮戕戧找戭)"
199,鬲,3913696.jpg,(- three footed cooker that sits over a fire)
200,鬲,3913346.jpg,(- three footed cooker that sits over a fire)
201,鬲,3914265.jpg,(- three footed cooker that sits over a fire)
202,鬲,3914560.jpg,(- three footed cooker that sits over a fire)
203,鬲,3914614.jpg,(- three footed cooker that sits over a fire)
204,鬲,3915392.jpg,(- three footed cooker that sits over a fire)
205,更,3916508.jpg,(- a hand 攴 stoking a fire 丙)
206,庚,3916190.jpg,"(- Oracle character: appears to be holding something else, maybe a pestle 午)"
207,庚,3917697.jpg,"(- Oracle character: appears to be holding something else, maybe a pestle 午)"
208,庚,3917733.jpg,"(- Oracle character: appears to be holding something else, maybe a pestle 午)"
209,庚,3917431.jpg,"(- Oracle character: appears to be holding something else, maybe a pestle 午)"
210,庚,3918682.jpg,"(- Oracle character: appears to be holding something else, maybe a pestle 午)"
211,庚,3918138.jpg,"(- Oracle character: appears to be holding something else, maybe a pestle 午)"
212,庚,3918908.jpg,"(- Oracle character: appears to be holding something else, maybe a pestle 午)"
213,工,3918418.jpg,(- 𢒄 is a ruler in 式)  (- 壬 is probably a 扁擔 or carrying pole in most other cases as in 贡貢) (remnant ) (phonetic )
214,工,3919703.jpg,(- 𢒄 is a ruler in 式)  (- 壬 is probably a 扁擔 or carrying pole in most other cases as in 贡貢) (remnant ) (phonetic )
215,工,3919611.jpg,(- 𢒄 is a ruler in 式)  (- 壬 is probably a 扁擔 or carrying pole in most other cases as in 贡貢) (remnant ) (phonetic )
216,弓,3919454.jpg,(- a bow)
217,公,3920763.jpg,㕣𠮦 cursive form of 公. 𠮦 cursive form of 召. agitated 怱悤 to 忩 to 总 zǒng.
218,肱,3920952.jpg,(- original 厷肱)
219,肱,3920958.jpg,(- original 厷肱)
220,宫,3921697.jpg,"(宫)宮 indicating many rooms, thus palace"
221,冓,3922945.jpg,Shuowen 交積材 gate to be pulled together see 構 gòu  see 𨺅 see 𨽩𨽝 see 再
222,古,3923637.jpg,(- possibly meaning straight talk from old people)
223,谷,3924394.jpg,(- indicating water from a source as in 山谷 meaning valley)  (- maybe grain in mouth)
224,毌,3927424.jpg,two hands grabbing something. 头(贯)貫 guan  (贵)貴䝿 guì (虏)虜虜 lǔ (娄)婁𡝨𡜰 lóu (数)數 shù
225,毌,3927454.jpg,two hands grabbing something. 头(贯)貫 guan  (贵)貴䝿 guì (虏)虜虜 lǔ (娄)婁𡝨𡜰 lóu (数)數 shù
226,毌,3927988.jpg,two hands grabbing something. 头(贯)貫 guan  (贵)貴䝿 guì (虏)虜虜 lǔ (娄)婁𡝨𡜰 lóu (数)數 shù
227,毌,3928714.jpg,two hands grabbing something. 头(贯)貫 guan  (贵)貴䝿 guì (虏)虜虜 lǔ (娄)婁𡝨𡜰 lóu (数)數 shù
228,雚,3930726.jpg,owl with eyes and top notch. 又雚 in  C232 歡<懽讙驩> + A096 欢[歡]雚 A082 观[觀] A207 权[權] A208 劝[勸] C207 罐<鑵> C231 獾<貛䝔> no change in 灌灌 爟爟 瓘瓘 鹳鸛 颧顴
229,雚,3930286.jpg,owl with eyes and top notch. 又雚 in  C232 歡<懽讙驩> + A096 欢[歡]雚 A082 观[觀] A207 权[權] A208 劝[勸] C207 罐<鑵> C231 獾<貛䝔> no change in 灌灌 爟爟 瓘瓘 鹳鸛 颧顴
230,龟,3933917.jpg,(- animal turtle) (- significant font differences)
231,龟,3934744.jpg,(- animal turtle) (- significant font differences)
232,龟,3934234.jpg,(- animal turtle) (- significant font differences)
233,龟,3934636.jpg,(- animal turtle) (- significant font differences)
234,癸,3934502.jpg,(- possibly grass)
235,癸,3935490.jpg,(- possibly grass)
236,鬼,3935981.jpg,(- animal with an ugly head and a tail)
237,鬼,3935231.jpg,(- animal with an ugly head and a tail)
238,鲧,3936969.jpg,(- The line is catching the fish in the ancient form)
239,鲧,3936805.jpg,(- The line is catching the fish in the ancient form)
240,果,3936605.jpg,(- fruit)
241,果,3937259.jpg,(- fruit)
242,果,3937430.jpg,(- fruit)
243,亥,3937265.jpg,"(- terrestrial branch number 12) (- possible, a pig of some kind)"
244,亥,3938238.jpg,"(- terrestrial branch number 12) (- possible, a pig of some kind)"
245,亥,3938367.jpg,"(- terrestrial branch number 12) (- possible, a pig of some kind)"
246,亥,3938362.jpg,"(- terrestrial branch number 12) (- possible, a pig of some kind)"
247,亥,3939199.jpg,"(- terrestrial branch number 12) (- possible, a pig of some kind)"
248,禾,3941255.jpg,(- plant grain stalk)
249,禾,3942818.jpg,(- plant grain stalk)
250,合,3942596.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
251,合,3942111.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
252,合,3943844.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
253,合,3944478.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
254,合,3945750.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
255,合,3946904.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
256,合,3946914.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
257,合,3946627.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
258,合,3947177.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
259,合,3947915.jpg,"(pot 口 and lid 亼 = join) (mouth 1 亼, and mouth 2 口 = to agree)"
260,何,3947281.jpg,Man carrying a hoe or scythe. Man who caries a tool and sings while he works. see 何可哥歌
261,何,3948358.jpg,Man carrying a hoe or scythe. Man who caries a tool and sings while he works. see 何可哥歌
262,龢,3949958.jpg,(- now 和)
263,龢,3950441.jpg,(- now 和)
264,虹,3951504.jpg,(- original oracle was a two headed snake indicating the rainbow) .
265,后,3952380.jpg,(- right facing person who gives orders) (mirror- 后司) (mirror- 𠂋匕-人)
266,厚,3953899.jpg,(- inverted grain-silo-xiang 亯 xiǎng)
267,乎,3953989.jpg,"(- probably from a sundial indicating 气彡 air on top and remnant 丅 the sundial below. The references to ""breath"" come from the three strokes 彡)"
268,虍,3954546.jpg,(- a tiger head and teeth) 虎hǔ 虐nüè
269,壶,3954201.jpg,(- a vase-hu)
270,壶,3954441.jpg,(- a vase-hu)
271,壶,3955393.jpg,(- a vase-hu)
272,壶,3955828.jpg,(- a vase-hu)
273,壶,3955859.jpg,(- a vase-hu)
274,壶,3956945.jpg,(- a vase-hu)
275,虎,3956974.jpg,(- tigers head and body 虎)
276,虎,3956877.jpg,(- tigers head and body 虎)
